Date,Price
201911,2.65
201910,2.33
201909,2.56
201908,2.22
201907,2.37
201906,2.4
201905,2.64
201904,2.65
201903,2.95
201902,2.69
201901,3.11
201812,4.04
201811,4.09
201810,3.28
201809,3
201808,2.96
201807,2.83
201806,2.97
201805,2.8
201804,2.8
201803,2.69
201802,2.67
201801,3.87
201712,2.82
201711,3.01
201710,2.88
201709,2.98
201708,2.9
201707,2.98
201706,2.98
201705,3.15
201704,3.1
201703,2.88
201702,2.85
201701,3.3
201612,3.59
201611,2.55
201610,2.98
201609,2.99
201608,2.82
201607,2.82
201606,2.59
201605,1.92
201604,1.92
201603,1.73
201602,1.99
201601,2.28
201512,1.93
201511,2.09
201510,2.34
201509,2.66
201508,2.77
201507,2.84
201506,2.78
201505,2.85
201504,2.61
201503,2.83
201502,2.87
201501,2.99
201412,3.48
201411,4.12
201410,3.78
201409,3.92
201408,3.91
201407,4.05
201406,4.59
201405,4.58
201404,4.66
201403,4.9
201402,6
201401,4.71
201312,4.24
201311,3.64
201310,3.68
201309,3.62
201308,3.43
201307,3.62
201306,3.83
201305,4.04
201304,4.17
201303,3.81
201302,3.33
201301,3.33
201212,3.34
201211,3.54
201210,3.32
201209,2.85
201208,2.84
201207,2.95
201206,2.46
201205,2.43
201204,1.95
201203,2.17
201202,2.51
201201,2.67
201112,3.17
201111,3.24
201110,3.57
201109,3.9
201108,4.06
201107,4.42
201106,4.54
201105,4.31
201104,4.24
201103,3.97
201102,4.09
201101,4.49
201012,4.25
201011,3.71
201010,3.43
201009,3.89
201008,4.32
201007,4.63
201006,4.8
201005,4.14
201004,4.03
201003,4.29
201002,5.32
201001,5.83
200912,5.35
200911,3.66
200910,4.01
200909,2.99
200908,3.14
200907,3.38
200906,3.8
200905,3.83
200904,3.5
200903,3.96
200902,4.52
200901,5.24
200812,5.82
200811,6.68
200810,6.74
200809,7.67
200808,8.26
200807,11.09
200806,12.69
200805,11.27
200804,10.18
200803,9.41
200802,8.54
200801,7.99
200712,7.11
200711,7.1
200710,6.74
200709,6.08
200708,6.22
200707,6.22
200706,7.35
200705,7.64
200704,7.6
200703,7.11
200702,8
200701,6.55
200612,6.73
200611,7.41
200610,5.85
200609,4.9
200608,7.14
200607,6.17
200606,6.21
200605,6.25
200604,7.16
200603,6.89
200602,7.54
200601,8.69
200512,13.05
200511,10.3
200510,13.42
200509,11.75
200508,9.53
200507,7.63
200506,7.18
200505,6.47
200504,7.16
200503,6.96
200502,6.14
200501,6.15
200412,6.58
200411,6.17
200410,6.35
200409,5.15
200408,5.41
200407,5.93
200406,6.27
200405,6.33
200404,5.71
200403,5.39
200402,5.37
200401,6.14
200312,6.13
200311,4.47
200310,4.63
200309,4.62
200308,4.99
200307,5.03
200306,5.82
200305,5.81
200304,5.26
200303,5.93
200302,7.71
200301,5.43
200212,4.74
200211,4.04
200210,4.13
200209,3.55
200208,3.09
200207,2.99
200206,3.26
200205,3.5
200204,3.43
200203,3.03
200202,2.32
200201,2.32
200112,2.3
200111,2.34
200110,2.46
200109,2.19
200108,2.97
200107,3.11
200106,3.72
200105,4.19
200104,5.19
200103,5.23
200102,5.61
200101,8.17
200012,8.9
200011,5.52
200010,5.02
200009,5.06
200008,4.43
200007,3.99
200006,4.29
200005,3.59
200004,3.04
200003,2.79
200002,2.66
200001,2.42
199912,2.36
199911,2.37
199910,2.73
199909,2.55
199908,2.8
199907,2.31
199906,2.3
199905,2.26
199904,2.15
199903,1.79
199902,1.77
199901,1.85
199812,1.72
199811,2.12
199810,1.91
199809,2.02
199808,1.85
199807,2.17
199806,2.17
199805,2.14
199804,2.43
199803,2.24
199802,2.23
199801,2.09
199712,2.35
199711,3.01
199710,3.07
199709,2.88
199708,2.49
199707,2.19
199706,2.2
199705,2.25
199704,2.03
199703,1.89
199702,2.15
199701,3.45
